ID,N13_01,N13_02,N13_03,N13_04,N13_05,N13_06,N13_07,N13_08,N13_09,N13_10,N13_11,N13_13,N13_14,N13_15,N13_16,N13_17,N13_18,N14_01,N14_02,N14_03,N14_04,N14_05,N14_06,N14_07,N14_08,N14_09,N14_10,N14_11,N14_12,N14_13,N15_01,N15_02,N15_03,N15_04,N15_05,N15_06,N15_07,N15_08,N15_09,N15_10,N15_11,N15_12,N15_13,N15_14,N15_15,N15_16,N15_17,N15_18,N16_01,N16_02,N16_03,N16_04,N16_05,N16_06,N16_07,N16_08,N16_09,N16_10,N16_11,N16_12,N16_13,N16_14,N16_15,N16_16,N16_17,N16_18,N16_19,N17_01,N17_02,N17_03,N17_04,N17_05,N17_06,N17_07,N17_08
,E,A,O,G,M,O,V,G,G,O,G,G,G,O,G,O,O,G,O,G,G,O,O,O,A,A,G,G,O,GG,G,G,G,G,A,A,G,A,G,O,L,G,G,G,G,A,G,G,G,G,A,O,G,A,G,G,G,A,G,A,G,O,O,G,O,O,G,O,A,G,O,G,G,G,DNET
ABAT,568.35,279.12,804.35,98.7,7.27,2318.62,1159.58,461.48,48.77,2180.61,235.68,48.87,307.88,1200.1,135.88,1320.57,2033.99,495.79,2521.43,190.95,19.49,1344.22,1286.27,2525.91,955.17,998.65,1680.18,393.57,1064.03,839.06,37.55,11.37,604.62,434.2,1175.03,731.85,753.74,1638.13,621.44,708.11,73.98,686.49,1106.31,165.25,490,1515.25,152.73,430.12,370.68,406.45,662.73,1893.6,472.51,775.2,406.86,708.24,56.5,1230.43,343.41,1428.42,473.88,1181.47,2083.98,89.55,1052.88,1214.85,313.97,2267.1,1570.77,390.46,1081.43,930.28,293.65,321,543.91
ACACA,224.61,245.47,347.74,107.04,185.05,427.92,606.74,361.41,100.01,339.13,155.14,401.54,202.39,326.09,249.26,508.93,362.85,277.4,649.54,241.33,40.75,347.86,448.92,975.46,339.74,262.86,333.29,257.13,545.72,225.14,52.4,188.17,411.8,248.7,409.57,254.36,340.27,312.46,192.71,445.58,91.56,252.72,402.23,113.36,201.59,374.21,275.38,252.29,189.61,294.3,498.62,534.3,200.31,329.66,215.85,543.58,90.32,571.63,294.17,447.43,245.96,316.69,555.14,171.26,428.01,392.17,217.15,483.85,380.11,238.39,547.85,389.86,149.77,304.15,432.65
ACACB,14.83,18.7,51.04,31.55,8.99,76.01,110.6,43.32,24.86,135.06,75.23,46.23,69.53,63.86,98.62,145.01,242.54,97.77,50.37,97.84,13.29,93.97,108.13,101.45,32.98,28.95,69.2,64.64,45.31,345.32,36.72,22.74,113.84,221.92,43.04,28.8,41.32,128.41,134.25,8.79,73.19,37.01,194.84,43.93,67.46,88.67,50.6,69.2,94.16,64.89,136.51,35.73,70.73,34.74,69.29,243.33,26.11,46.71,63.05,169.15,46.39,133.79,93.58,74.32,175.08,66.98,44.53,52.93,16.99,51.8,20.85,109.24,60.73,78.91,402.84
ACLY,1332.37,752.85,777.91,643.37,1466.72,921.82,1417.22,1139.03,435.74,712.43,1394.97,2734.58,914.82,525.38,639.8,1042.15,1036.45,1157.35,975.74,897.48,596.21,961.02,464.43,1107.67,822.5,1019.37,537.51,1059.14,905.46,909.46,166.9,749.83,1283.99,747.37,1167.78,1431.13,1786.03,712.23,1568.21,800.57,822.96,1079.98,1286.88,971.49,1279.11,642.39,1419.8,1794.71,775.77,1722.86,1119.44,2248.1,972.85,1373.54,927.78,1012.52,786.35,1528.73,1332.44,750.69,1651.58,760.1,1132.09,414.6,1190.38,1084.67,494.34,995.67,815.91,1387.86,1028.21,2044.91,1610.36,3069.82,915.48
ACO2,180.36,228.27,238.68,105.46,88.78,279.44,214.89,157.09,70.41,711.51,154.71,240.17,200.97,492.7,107.26,552.55,427.45,130.36,515.55,182.95,109.85,244.62,418.79,595.27,592.05,497.62,336.92,225.96,257.57,226.99,49.51,41.69,308.25,241.2,389.64,263.45,353.79,333.14,133.71,244.96,193.61,316.2,422.4,209.87,211.27,281.41,229.91,266.5,127.01,312.95,393.72,262.63,293.07,431.72,164.34,311.83,81.12,237.02,285.63,438.95,185.55,366.61,525.11,151.56,411.9,592.84,195.89,245.99,386.08,289.19,405.19,324.32,230.56,234.6,855.12
ACSS2,54.78,56.46,164.69,84.96,131.14,122.29,210.05,95.59,48.58,119.46,69.07,117.11,118.1,103.12,113.56,117.08,189.23,102.13,130.67,104.21,60.24,130.18,166.63,247.12,125,158.11,110.15,44.91,112.81,287.36,50.75,91.72,176.45,167.3,149.74,109.01,133.15,180.99,150.49,101.67,199.64,241.01,204.93,84.68,105.37,128.78,158.09,136.12,69.33,156.35,210.29,288.61,269.01,147.86,209.41,420.03,116.65,181.29,110.03,146.17,123.7,166.93,297.17,110.37,389.24,189.6,105.82,169.6,161.1,272.26,265.56,281.64,126.48,204.9,701.7
ACTB,17665.54,16440.53,14362.54,15832.92,15101.5,14550.22,10339.62,14317.85,19037.56,16783.67,12494.21,16356.97,13126.17,11602.5,18131.73,13129.4,13966.87,13210.67,13581.8,11937.93,13816.69,11737.69,13850.67,9356.28,10696.83,19352.37,14720.04,14715.54,8794.34,9138.68,10115.08,19856.65,15796.65,8897.7,7266.35,16337.87,11860.93,16209.63,11719.65,9631.69,12568.77,16799.62,9882.26,11067.51,13732.44,9900.67,12946.11,9339.6,12550.04,14223.07,9272.19,7069.69,13729.27,5782.7,15290.64,9981.94,8175.46,7892.25,7905.7,7925.36,10775.51,9750.55,9501.92,14548.55,10116.41,11648.16,14809.06,9696.98,7817.26,10030,8541.1,11682.27,7926.5,15439.03,10660.87
ADPGK,59.32,213.69,248.78,304.22,367.32,243.99,525.14,38.57,123.36,127.72,133.67,610.67,260.97,94.86,193.65,114.93,205.56,199.65,136.13,389,261.34,223.28,264.34,173.86,202.46,203.53,123.88,111.84,173.3,265.82,175.98,245.21,271.54,157.02,403.68,172.38,263.24,226.18,497.75,99.16,784.14,646.21,289.8,249.47,207.61,214.64,315.95,308.44,356.97,417.18,303.39,309.72,898.64,349.8,376.81,361.92,199.91,160.94,164.8,171.83,311.25,107.31,260.81,393.33,237.42,242.81,238.67,230.95,352.1,300.48,233.46,657.51,253.55,415.69,435.56
ALDOA,13728.18,5421.04,10043.82,13636.68,28350.13,8673.07,12116.26,6076.11,16729.5,11770.03,9959.88,10484.4,9490.87,13128.16,14865.33,13442.41,11045.26,9870.28,12965.16,12327.88,14476.02,10128.11,10283.73,11711.32,11689.48,11730.86,9431.61,12890.49,10096.18,16879.74,15607.92,12769.65,13227.15,9567,9201.12,14214.72,8190.67,11396.97,8639.52,6652.91,10257.8,9431.52,8611.12,10716.18,5479.12,8787.97,7213.93,9327.34,13506.56,9704.9,9240.32,9782.37,7944.85,9444.39,15232,6934.06,10919.02,7728.76,10089.76,8709.3,10618.74,10583.15,8683.36,8203.83,9834.4,10135.81,5939.89,8357.22,4896.69,6561.77,9510.94,6061.67,11692.37,7926.79,7093.31
ALK,22.01,5.23,351.87,4.39,0.21,233.46,52.61,57.44,5.03,151.91,16.05,3.96,2.86,249.64,94.4,6.44,198,242.38,134.11,6.37,2.66,27.16,137.05,176.53,29.53,7.38,29.16,10.3,86.54,609.93,3.2,2.08,14.53,75.29,11.55,30.58,18.75,37.53,59.14,85.98,18.89,200.84,50.19,20.94,9.94,17.78,24.25,40.9,4.4,2.3,29.74,76.68,31.31,14.21,5.52,8.98,16.91,17.81,55.14,10.71,85.76,71.14,175.14,6.6,21.62,93.72,23.27,38.79,23.28,263.96,131,17.41,16.81,263.09,25.45
AR,6.78,46.43,4.13,27.42,1.43,8.21,99.61,35.41,17.08,8.41,5.67,45.13,50.6,9.08,45.59,39.21,25.61,95.38,26.53,11.67,7.38,345.74,10.71,17.09,37.71,175.05,31.53,26.7,4.53,108.51,3.44,4.11,118.42,47.84,81.74,164.15,9.35,222.09,106.69,39.4,16.18,37.08,218.33,8.73,100.23,99.73,31.48,90.71,112.96,100.48,27.19,22.04,43.48,53.63,61.58,9.84,13.56,43.16,26.38,20.46,51.06,15.83,18.97,29.66,32.81,6.3,60.88,135.82,125.86,39.84,13.26,177.52,33.91,37.9,36.36
ARHGAP26,121.28,438.59,163.4,283.49,535.47,1314.49,934.65,364.21,254.12,1653.69,367.44,809.24,500.03,612.16,669.32,1151.28,1438.44,532.99,801.12,1003.32,948.35,992.06,1401.49,876.57,732.77,635.3,1098.09,329.21,1000.37,8528.38,562.8,388.84,892.01,1718.6,820.73,619.51,634.11,1794.11,1688.66,804.34,2206.03,334,1792.93,787.8,492.87,1340.29,474.74,745.43,429.92,737.02,1743.77,1101.08,1184.47,1821.25,669.31,1226.31,393.6,1020.23,739.83,1367.27,415.76,2829.19,1955.95,1048.37,2059.82,442.67,524.37,1475.32,352.73,1357.97,777.19,2096.12,1300.2,1618.1,1568.45
ARV12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARV7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG4A,15.31,52.16,68.12,35.15,69.31,59.08,94.62,30.75,22.96,41.96,31.88,75.73,63.1,42.64,69.65,53.49,49.23,50.55,49.18,70.93,17.72,48.71,71.57,52.97,51.38,75.79,21.25,34.61,57.77,74.86,18.98,57.23,80.56,54.62,47.12,50.08,53.82,83.22,64.15,41.84,92.08,97.43,75.03,42.79,45.23,40.98,35.91,63.02,112.52,89.41,66,76.33,135.96,64.55,55.5,116.94,26.33,41.39,38.44,68.51,32.93,49.31,95.16,89.32,76.06,48.89,29.77,65.86,50.66,73.05,60.9,135.19,73.41,62.33,77.08
ATP5A1,2530.78,3281.19,1904.11,1464.53,1106.89,4860.17,4449.07,1773.53,1170.37,3658.2,1916.91,1487.93,1924.89,3930.69,1816.1,3285.63,3175.14,3027.83,3261.72,2548.58,414.16,3047.72,4091.25,4622.72,3210.63,3185.57,3790.58,2554.47,2588.61,3242.17,723.3,3034.37,2680.51,2683.18,2696.2,2413.14,2526.76,2765.19,2371.81,5316.8,1942.9,2770.34,3119.17,2004.66,1394.42,3231.7,2560.02,2683.58,2146.24,2881.66,2717.67,2228.15,3478.61,3211.56,1599.85,1540.04,1319.72,2851.66,2021.27,3670.68,1563.68,2462.38,3882.18,2208.22,2633.09,2333.55,1734.71,3472.68,3453.36,2642.9,5139.13,2557.33,1902.54,3083.46,2426.49
ATP5C1,839.85,1916.25,1523.88,603.93,1233.75,2380.46,1541.02,1200.52,1070.93,1361.79,799.49,1054.03,1032.21,2038.98,1401.26,1961.62,1490.07,1499.16,1849.79,1033.14,295,2836.29,1163.96,2837.54,1264.62,2460.57,2002.58,770.26,2262.17,1662.51,336.07,1004.32,1926.38,1647.48,3309.43,2563.36,1540.65,2645.46,1358.18,5234.38,1947.62,2110.54,1252.2,880.44,802.19,2444.91,1304.37,1007.12,1052.82,1535.86,2656.44,3035.98,2027.16,4504.56,1114.19,1470.82,626.9,3917.68,1716.55,3390.4,803.46,2773.62,2818.37,1361.78,2743.74,3018.22,620.18,3357.2,2636.51,1058.16,2503.59,2840.68,1019.23,1292.82,2538.47
AXL,92.21,229.39,29.1,160.22,80.97,324.93,731.19,119.35,51.15,311.73,155.56,141,140.84,214.79,603.18,269.72,352.29,471.02,270.01,163.31,301.65,332.98,590.51,187.96,406.84,495.35,205.78,287.74,187.57,640.58,80.77,96.93,696.54,258.55,642.79,459.21,329.81,768.9,570.28,128.44,855.49,568.33,560.17,189.27,236.37,387.65,279.23,229.15,320.5,347.56,375.66,88.16,1296.8,287.91,322.85,229.74,198.19,257.72,181.63,529.44,191.7,326.49,411.3,237.52,651.71,290.34,252.3,427.92,383.57,310.11,482.42,396.35,181.03,587.56,571.17
BCAT1,3479.47,237.8,193.7,1138.46,1041.64,122.09,1750.89,926.59,1310.24,54.57,1031.14,1422.33,2313.96,30.05,3808.39,32.65,112.15,2643.16,54.64,888.93,2003.46,92.68,316.42,125.59,194.03,86.86,82.93,874.94,297.21,2769.24,618.5,1118.96,304.03,323.03,111.45,61.6,773.64,225.41,327.77,668.99,2454.2,4542.2,274.55,1598.81,662.83,75.45,1910.16,696.39,344.3,2152.3,483.81,53.36,1314.62,552.73,386.01,1372.78,1344.97,57.12,296.68,116.71,1709.99,54.97,96.42,1306.71,70.99,251.45,716.75,63.15,67.97,4834.92,63.65,611.08,2899.95,1604.99,293.04
BCAT2,25.36,29.91,47.19,61.97,88.35,87.24,55.21,47.52,94.13,61.91,28.69,81.67,33.1,26.67,76.67,30.51,61.72,26.69,38.96,41.1,63.78,46.98,76,50.41,98.93,68.7,53.65,71.22,42.14,129.84,13.62,42.45,107.51,53.12,82.46,100.15,136.21,73.27,186.76,31.38,85.79,79.63,114.89,45.52,97.27,74.58,47.33,55,176.16,31.68,47.68,49.65,100.3,60.01,68.07,144.58,42.81,72.61,66.82,58.91,74.73,55.78,43.94,82.83,79.94,68.87,67.3,105.55,97.23,181.28,70.78,150.89,248.25,318.32,284.31
BRAF,288,236.49,598.53,179.15,137.99,418.86,320.47,282.59,87.87,252.46,231.43,304.67,209.54,170.56,250.7,266.18,350.61,349.51,376.33,294.79,71.76,392.9,400.62,495.74,293.34,320.49,387.71,203.08,465.3,529.96,140.91,137.76,328.86,317.46,203.65,275.64,501.73,371.43,291.23,433.44,223.78,230.47,436.67,148.41,206.04,430.79,106.79,178.97,168.66,244.74,512.92,377,246.11,380,240.38,526.1,175.29,543.42,221.57,374.9,323.85,288.4,495.39,167.9,376.71,374.07,279.94,893.43,246.06,278.9,221.94,363.58,193.41,302.27,478.46
C12orf5 (TIGAR),70.27,244.67,161.57,48.17,65.25,40.37,162.19,69.88,51.95,63.92,53.4,145.84,133.64,46.02,75.59,50.22,68.44,151.08,48.11,116.39,46.51,33.41,137.93,142.57,78.61,73.1,34.34,64.36,176.98,147.68,22.95,40.27,124.15,77.65,98.26,22.71,157.83,137.85,78.49,142.25,199.38,286.33,139.3,84.5,54.91,36.04,140.2,153.53,80.19,116.24,131.12,105.56,391.34,108.08,79.33,128.75,46.55,43.94,57.78,54.12,145.32,73.77,79.82,71.08,100.66,93.86,144.79,85.7,98.33,183.44,95.33,167.28,86.97,181.9,118.16
CA12,246.62,50.48,57.83,2173.25,3,108.51,173.62,43.6,1629.83,533.12,710.24,56.36,735.29,249.82,3537.17,25.78,231.74,375.69,427.64,569.58,1651.31,24.14,209.17,309.7,36.04,25.55,107.3,2642.57,122.33,2306.15,1114.04,556.17,234.82,111.82,38.51,31.46,357.61,20.93,1251.54,78.66,247.13,855.83,237.65,1726.73,220.94,76.97,144.33,813.03,790.78,1186.13,275.28,132.71,299.74,191.68,684.64,321.52,2207.52,179.91,79.38,42.4,478.75,211.19,215.61,524.97,50.11,650.64,795.3,31.88,25.17,647.78,659.23,69.64,7958.94,2213.82,8.73
CA9,34.45,18.13,208.39,118.98,1.71,1.58,0.37,18.45,45.55,2.75,71.62,33.02,49.77,0.75,102.22,1.29,0.96,2.05,5.23,118.21,670.63,1.72,0.89,2.14,3.83,0.85,0,56.92,1.81,94.36,152.25,213.94,392.51,4.07,1.81,127.63,194.37,1.02,55.21,92.88,21.25,37.01,8.36,98.33,46.02,0.87,7.46,24.52,224.79,25.04,0.5,5.57,2.9,1.97,101.49,0.47,146.83,2.77,3.01,1.34,66.72,3.64,1.26,75.44,1.19,5.94,69.55,1.2,1.26,27.89,1.65,2.05,201.07,83.46,2.91
CAT,99.51,322.12,239.96,119.21,153.39,478.53,554.14,188.67,92.99,288.68,142.39,218.38,226.68,284.95,231.26,262.74,462.51,274.07,270.13,371.72,164.78,470.49,450.91,196.08,168.72,357.96,225.48,243.41,403,145.63,128.73,188.17,545.19,155.09,236.05,348.75,331.6,297.91,322.36,150.2,728.26,372.17,745.91,237.64,255.72,248.24,212.65,214.26,357.75,358.93,393.22,617.36,698.33,211.22,384.79,369.24,269.04,215.29,142.69,437.16,156.91,458.77,464.72,418.63,439.05,390.01,304.96,273.95,544.99,241.38,360.48,597.43,203.73,223.9,1117.62
CBR1,100.76,21.03,5.51,52.96,121.94,40.86,650.15,343.11,68.32,250.79,107.32,137.86,175.01,90.63,312.7,175.36,383.62,227.11,214.12,138.67,115.72,14.01,163.14,182.62,135.17,16.32,55.07,91.88,137.05,155.11,20.63,157.99,523.33,252.77,7.93,155.93,344.35,107.22,238.18,257.04,204.3,221.92,369.94,153.93,177.15,19.51,272.81,334.85,308.15,212.04,169.07,28.42,439.17,45.9,422.34,822.4,47.09,62.44,272.25,184.66,252.33,168.75,187.71,138.52,588.7,47.6,239.85,53.38,7.08,236.98,11.32,312.8,171,221.69,1488.83
CBS,68.89,107.31,122.83,39.21,86.43,383.22,229.94,72.67,40.23,648.22,88.62,52.39,58.58,287.39,58.49,325.68,575.86,31.82,482.05,25.46,8.86,408.63,344.11,438.5,144.18,217.73,348.84,74.65,232.65,15.79,18.57,59.88,264.93,115.24,1171.63,778.6,338.48,261.15,99.6,221.74,55.09,141.94,327.69,93.32,314.81,455.72,121.72,109.76,34.15,13.28,159.1,428.28,79.14,287.62,91.67,242.38,48.8,370.45,232.37,643.36,278.32,391.26,427.42,92.23,634.41,374.34,156.36,557.83,617.67,217.48,360.75,291.89,262.4,289.7,349.03
CD274 (PDL1),16.03,14.21,12.48,36.51,155.96,13.78,206.89,13.42,33.02,5.04,7.23,39.18,27.14,10.89,53.27,10.74,14.89,5.65,16.16,42.19,58.47,7.33,28.36,15.81,276.08,14.76,14,32.61,19.94,11.52,38.79,6.06,18.49,38.99,28.09,7.98,9.69,41.1,57.38,4.6,189.67,4.68,24.11,30.96,29.81,28.62,13.06,19.71,42.16,9.2,16.06,10.67,46.96,14.61,49.67,21.73,14.98,9.71,6.53,22.32,21.19,15.76,8.85,22.39,17.3,10.8,15.01,31.27,6.92,25.9,10.97,58.04,12.97,57.51,14.54
CHKA,20.33,60.76,92.35,52.51,30.38,141.2,162.28,58.14,44.6,196.05,80.12,42.71,54.29,98.05,49.31,175.3,220.69,112.91,210.73,62.56,34.11,130.39,181.92,320.17,167.95,124.62,113.77,108.12,176.7,174.8,47.86,59.31,195.99,97.25,172.39,110.56,170.64,183.55,119.09,177.39,120.15,117.81,220.43,53.26,79.75,139.84,142.24,122.37,35.44,55.95,210.04,164.72,133.06,159.9,83.4,330.97,43.02,98.74,121.84,140.59,162.35,94.58,192.21,73.2,279.77,136.39,77.3,220.12,176.52,118.53,158.02,225.32,156.85,174.68,694.42
CKB,4409.25,2536.56,3852.29,676.27,445.19,6603.37,4724.56,1809.86,1631.16,8276.93,2623.54,60.32,858.87,10187.57,734.11,3853.85,5347.93,2418.36,7099.81,109.48,682.14,6260.53,3973.14,5107.56,2182.6,4135.96,11373.03,1881.75,3473.68,834.41,39.61,17.81,8041.79,2706.1,7501.21,10596.89,5492.25,6415.18,4975.57,5574.74,234.27,1323.8,7758.2,3364.24,5471.8,6118.89,6017.52,9721.71,7082.06,4446.39,4314.64,12125.59,1611.76,4531.21,574.88,5932.41,694.96,5746.57,5155.92,8542.38,5449.82,11938.63,6206.11,740.33,7535.97,12038.84,4679.51,7411.76,11101.72,6910.73,15599,857.22,4553.06,4552.29,11683.78
CPT1A,71.28,106.38,835.38,152.11,58.62,564,723.29,87.21,52.95,319.87,198.92,1194.48,269.07,317.63,320.17,270.9,332.35,391.09,394.14,884.56,125.8,456.91,516.5,291.34,248.48,388.05,208.11,125.85,435.4,334.54,90.36,80.91,209.2,473.62,257.12,349.2,207.37,235.62,221.4,189.53,321.63,247.8,254.62,215.78,180.68,212.69,139.9,249.09,369.91,546.19,250.94,683.01,562.66,469.62,176.3,304.75,115.79,188.23,138.92,380.48,106.23,460.59,285.79,250.06,224.59,677.65,313.97,212.31,452.48,347.96,324.26,365.97,153.9,189.12,220.33
CS,332.27,1501.28,746.45,257.74,466.17,983.04,666.53,388.96,200.63,684.45,323.89,425.49,346.9,464.49,347.29,548.42,648.3,764.56,726.4,452.49,266.46,973.09,699.5,530.5,1029.44,472.64,676.26,390.42,750.75,1008.59,130.94,243.09,360.31,481.17,777.44,869.46,344.51,295.81,420.46,710.53,442.21,657.06,530.38,310.85,323.24,387,497.9,442.62,542.17,541.67,577.71,885.67,590.91,605.17,263.2,559.81,191.89,688.81,259.69,725.95,405.07,539.35,821.96,344.06,689.18,1197.75,302.24,717.4,849.97,454.35,673.07,547.61,349.01,446.56,641.25
CTLA4,0.6,20.56,0,0.56,28.88,39.39,14.41,0,0.47,1.72,0.53,3.3,14.29,0.94,1.35,1.07,0.6,9.62,0.59,17.28,3.32,3.77,7.2,2.14,1.92,18.45,8.42,4.29,24.92,40.87,8.25,1.89,1.98,6.43,1.7,0,0.64,33.82,20.98,1.05,437.45,4.68,1.85,4.55,3.27,1.08,0.58,0,21.99,3.19,12.55,1.74,23.19,17.77,5.37,4.13,4.28,1.16,2.51,1.67,2.15,0,6.32,43.09,2.98,10.13,11.57,1.5,3.93,5.81,1.03,81.51,3.69,12.37,5.45
CYCS,711.63,577.91,1664.33,627.59,997.19,639.77,1141.36,532.13,382.88,526.24,688.56,1288.37,877.14,652.5,764.43,388.04,763.35,1008.19,765,1105.25,135.1,372.86,755.31,1342.14,570.86,365.84,307.44,750.81,695.18,2326.35,232.61,844.2,1107.08,2078.9,519.05,266.16,1112.44,558.42,517.3,1343.79,632.24,1699.84,672.84,597.79,318.67,533.88,1405.46,682.01,583.96,752.03,1152.44,855.51,1241.79,817.5,633.9,1400.3,391.68,879.29,1053.84,653.57,1191.87,715.94,869.38,882.88,767.66,1440.24,997.57,608.58,674.55,1597.03,1896,1091.59,685.11,975.37,948.93
D2HGDH,30.88,91.78,77.11,34.01,48.23,210.8,119.81,34.3,24.41,209.6,39.41,77.55,62.56,104.93,85.4,88.67,167.01,55.52,134.88,96.39,29.8,122.46,162.46,198.83,86.1,100.13,112.86,51.61,95.14,76.5,36.57,35.75,137.11,74.1,94.53,121.66,117.45,152.12,108.26,108.4,126.76,90.28,213.47,67.87,112.79,123.97,52.99,62.91,114.17,56.55,111.44,86.26,93.69,88.74,82.36,120.91,72.87,125.71,43.28,127.91,76.4,169.67,245.29,79.37,244.98,132.34,78.8,173.46,174.49,80.89,146.27,103.81,128.25,129.98,230.7
EGFR,619.24,15.19,3.9,42.46,79.49,151.45,27.48,6.29,2.25,34.47,460.23,9.63,288.41,43.26,12.49,176.9,99.21,1094.23,94.59,14.09,32.94,155.58,111.97,45.25,16.06,82.14,135.66,731.5,129.62,21.25,40.87,4.86,24.19,23.03,55.36,126.16,65.36,33.35,1405.41,27.72,5.25,4.25,1828.71,156.7,4712.76,144.45,44.38,1214.57,48.91,1833.05,78.73,328.14,362.72,46.88,39.86,149.64,539.29,359,1445.42,371.34,2075.04,157.26,368.4,15.04,105.6,73.18,21.89,180.05,168.24,3177.04,149.6,984.16,203.99,29.09,3.64
EGFR delta 14-15,0,0.93,0,0,0,0.98,0,0,0,0,8.5,0,1.19,0,0,0,0,1.28,0,0,0,1.08,0,0,0,0,0,4.29,0,0,103.15,0,0,0,0,0,0,0,1.35,0,0,0,2.46,3.41,24.84,0,0,11.46,0,14.05,0,0,1.45,0,0,0,1.07,0,0,12.27,1.43,1.01,1.58,0,0,0,0,0,0,27.39,0,8.53,1.47,0,0
EGFR delta 2-7,1238.48,0,0,95.77,0,0,0,0,0,0,593.99,0,5.95,0,2.7,0,2.4,1569.86,0,0,0,1.08,0,0,0,0,0,470.51,1.13,0,0,0,0,0,0,0,0,0,1033.93,1.05,0,0,0,253.8,0,0,0,1.15,0,1450.41,0,0,21.74,0,0,10.63,143.4,0,0,0,269.16,0,0,0,0,0,0,0,0,695.59,0,0,0,0,0
EGFR delta 2-7_12-13,75.35,9.35,0,45.07,0,25.6,69.71,0.7,6.64,29.81,64.82,1.1,155.37,26.3,4.5,110.1,22.81,307.3,76.62,3.64,6.64,28.02,13.29,23.49,11.5,68.84,9.07,1126.93,46.44,0,4.13,5.68,17.17,11.78,12.46,26.59,60.58,25.53,573.13,14.64,3.94,2.34,184.51,88.77,1476,68.29,9.33,199.93,12.93,643.14,28.86,91.64,126.1,26.65,19.93,50.2,101.66,167.65,730.4,44.63,178.96,108.12,63.23,10.07,55.18,59.42,20.64,74.43,88.1,2351.55,65.84,684.48,28.75,12.04,29.09
EGFR delta 25-27,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,2.61,0,2.33,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGLN1,149.26,166.39,218.12,163.38,58.19,272.55,339.43,56.18,129.43,237.55,153.65,150.36,143.34,237.43,61.37,231.8,327.79,138.57,324.3,237.51,176.29,293.76,291.82,238.58,183.29,220,152.91,324.06,275.69,240.37,90.98,54.57,209.2,130.67,253.26,152,361.44,137.34,223.84,184.3,144.29,253.42,323.75,174.81,135.44,161.09,230.84,210.13,110.97,187.51,244.67,258.91,305.54,307.16,191.01,279,115.58,241.18,81.39,280.28,432.94,247.77,472.63,128.05,410.11,213.37,113.08,364.17,277.84,249.68,124,267.31,204.02,107,385.39
ENO1,22878.71,12496.04,14927.01,19163.55,13285.21,4454.1,9281.26,11092.03,18353.07,8368.42,18363.48,22402.35,14003.31,14631.62,8183.33,10232.62,9399.82,6066.69,9891.6,16900.55,16845.36,9058.68,7325.2,9166.83,8613.44,8450.19,8567.29,15743.57,9952.55,16091.21,12381.94,26400.36,8127.1,8897.81,11460.11,11164.34,13928.05,8390.28,13340.1,7664.14,11645.59,10814.81,11092.14,11274.76,10734.16,6542.96,13184.58,6951.97,14169.81,5566.09,7731.93,8598.7,7525.39,9148.08,10649.52,7326.21,15627.71,8859.53,9817.95,7415,11352.62,5224.48,3904.94,11192.67,5499.71,4145.02,9509.37,5938.25,8788.05,10999.59,4147.13,9000.33,9655.68,15710.74,6067.3
EPAS1,485.35,183.03,266.04,1464.53,1303.49,1405.08,1785.28,326.19,3584,2997.14,1968.56,949.24,692.9,1360.51,2268.91,807.12,1455.49,1091.91,1243.96,613.59,837.17,387.51,1749.59,1116.43,581.31,1274.85,789.68,1196.72,1408.36,688.04,946.11,530.58,1158.79,1187.57,535.98,1068.42,1172.06,463.59,838.78,379.47,795.68,1054.92,731.64,1884.48,643.74,514.91,835.23,857.02,825.96,712.75,484.56,1421.94,1901.93,674.92,970.4,1241.43,861.26,318.88,1269.64,393.87,985.57,1135.6,1370.14,941.81,704.5,1063.06,671.47,377.4,315.6,1478.83,1915.69,656.49,2194.12,1231.83,610.8
ERBB2,41.14,38.51,53.43,129.57,437.06,90,43.13,45.28,73.07,71.31,71.19,1569.6,112.63,49.96,100.96,56.5,63.4,129.85,95.27,368.08,122.25,47.42,102.81,124.52,40.65,34.06,65.05,220.52,43.04,111.82,33.01,71.82,239.05,30.2,57.99,56.5,66.83,76.58,224.11,26.78,29.91,61.83,465.94,59.18,243.43,56.8,18.19,140.24,508.3,31.93,94.85,77.49,100.59,28.43,44.76,52.92,65.49,58.74,34.42,58.91,53.83,67.7,63.86,87.31,93.66,50.51,129.59,63.15,55.38,48.48,62,299.4,76.36,175.21,106.16
