ROI,ADV_1001,ADV_1002,ADV_1003,ADV_1004,ADV_1005,ADV_1006,ADV_1007,ADV_1008,ADV_1009,ADV_1010,ADV_1011,ADV_1012,ADV_1013,ADV_1014,ADV_1015,ADV_1016,ADV_1017,ADV_1018,ADV_1019,ADV_1020,ADV_1021,ADV_1022,ADV_1023,ADV_1024,ADV_2002,ADV_2003,ADV_2008,ADV_2017,ADV_2020
KIT,131.09,7.7,5.69,259.03,172.4,40.69,51.83,53.8,441.98,504.45,115.36,985.61,315.27,96.64,295.24,132.25,222.92,83.1,1126.43,77.18,57.54,551.1,54.59,66.11,783.29,562.77,434.49,363.03,1186.18
KLK3,1.88,0,1.42,1.45,0,0,0,0.32,0.37,3.02,0.58,0.66,0,0.48,3.55,2.42,2.56,0,2.22,1.04,0.89,0.93,0.99,37.78,0,1.78,1.46,0.56,0.97
KRAS,78.44,16.5,16.85,51.79,15.79,23.08,42.22,48.84,31.33,74.89,29.13,46.76,22.62,23.63,60.84,45.5,59.08,46.67,67.37,46.62,23.96,81.36,41.9,63,67.76,64.79,60.17,47.93,45.83
L2HGDH,28.78,18.51,23.78,37.7,44.13,26.33,38.69,71.62,32.74,121.7,58.65,53.51,81.57,24.12,74.23,48.65,50.62,33.62,48.7,78.9,44.8,66.65,45.51,17.88,59.49,52.54,37.3,29.45,28.1
LDHA,6643.53,12587.17,10950.09,8987.88,4354.82,5336.22,11187.79,8963.61,4419.04,5848.93,4106.99,5479.42,6493.07,3210.04,3354.32,5341.96,6757.43,6035.68,4908.12,10087.87,5462.4,4342.22,4191.33,5620.09,5060.74,6024.57,5763.14,2597.25,3202.07
LDHB,1278.96,3562.97,2432.78,2271.26,2687.12,317.73,2504.77,2980.2,1163.99,4790.25,1446.39,1895.56,1202.72,1130.87,3781.09,602.18,1328.03,2175.62,2467.37,774.1,1442.85,1929.53,367.97,1795.25,1363.81,2135.5,1461.03,2447.39,3032.32
MAPK8,382.31,128.57,115.98,333.53,292.16,199.85,229.44,242.08,326.89,814.28,265.1,316.15,330.19,180.19,368.66,250.18,316.51,367.95,499.32,361.54,257.69,606.04,338.64,228.43,334.43,323.68,314.95,478.91,691.32
MDH1,516.7,320.22,339.05,538.78,614.29,220.7,517.36,319.46,530.02,972.63,661.4,1321.85,792.95,355.76,1122.39,601.69,394.56,799.08,618.53,568.47,1031.28,535.11,440.03,381.04,427.29,595.27,431.28,573.99,394.09
MDH2,610.23,447.44,332.88,698.6,629.47,757.83,822.29,606.83,844.03,1382.09,957.85,1151.91,525.6,523.42,908.78,774.14,736.36,658.82,805.75,570.93,1776.96,1191.64,753.56,303.26,1146.36,839.55,878.8,816.36,672.23
MERTK,237.93,200.33,94.52,167.49,90.02,90.35,25.46,21.39,317.15,409.97,145.37,123.86,193.14,304.44,319.64,130.33,96.67,237.28,214.52,59.57,165.06,269.9,71.97,150.79,187.54,182.63,292.57,889.47,957.79
MET control intron 19_FASTA,295.65,33.84,368.13,451.35,84.23,248.32,237.93,238.2,131.21,301.72,145.66,116.79,461.37,23.8,754.18,69.55,144.69,1034.51,360.62,194.24,176.61,284.76,274.8,128.86,387.36,145.61,184.68,413.77,80.4
MET control intron 1_FASTA,40.67,11.67,5.69,14.5,50.01,0,13.64,110.19,37.49,0,17.48,26.32,158.31,19.04,39.93,64.51,12.8,166.21,18.49,72.52,28.88,68.09,17.25,388.98,15.34,11.12,34.57,61.51,40.61
MET control intron 2_FASTA,168.94,53.67,25.58,29,139.5,173.53,72.74,294.91,97.47,82.97,75.74,82.24,379.95,30.94,35.49,46.37,240.71,320.96,44.38,134.67,84.42,235.23,179.92,672.32,58.81,53.35,123.72,229.25,141.32
MET delta 4-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0
MET delta14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,1.11,1.55,0,0,0,0,0,0,0
MET delta7-8,0,0,1.42,0,1.32,0,1.52,0,1.87,0,0,0,0,0,0,0,1.28,0,0,1.29,0,1.55,0,0,0,0,0,0,0
MET full,33.06,4.2,7.39,6.28,12.99,8.78,17.98,10.05,5.25,9.81,6.99,8.44,78.1,1.75,15.97,15.05,9.56,152.84,19.11,20.03,17.4,19.6,12.98,23.48,14.66,15.56,16.44,46.04,14.4
MET var1,1.56,0,0,1.81,0,0,0,1.62,0,0,0,0,0,0,0,1.01,0,2.87,1.85,0,0,0,0,0.8,0,0,0,1.4,1.62
MET var2,810.3,142.92,284.27,127.79,313.22,191.48,389.48,649.77,172.44,173.49,272.38,268.12,1229.18,88.07,153.05,344.73,635.72,975.76,408.7,419.55,382.65,383.03,263.71,431,139.99,168.95,158.29,168.44,201.42
