ROI,N13_02,N13_04,N13_08,N13_09,N13_11,N13_13,N13_16,N14_01,N14_03,N14_04,N14_08,N14_11,N15_01,N15_02,N15_03,N15_04,N15_07,N15_09,N15_12,N15_13,N15_14,N15_15,N15_17,N15_18,N16_01,N16_02,N16_05,N16_07,N16_09,N16_11,N16_13,N16_16,N16_19,N17_03,N17_05,N17_06,N17_07
,A,G,G,G,G,G,G,G,G,G,A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
NOX4,54.78,20.96,86.09,16.7,86.28,51.51,55.07,30.28,110.02,17.72,8.44,57.78,11.55,24.44,106.98,27.42,235.69,140.2,100.25,44.77,127.01,152.44,59.93,142.99,90.02,58.25,460.05,57.03,16.69,31.15,149.47,179.77,110.58,148.41,66.91,71.94,189.39
NQO1,43,159.77,203.21,39.09,31.45,118,143.08,52.61,165.31,29.23,32.21,72.65,27.03,189.3,816.73,226.63,145.39,140.47,149.43,97.17,127.01,43.4,101.66,108.85,496.14,187.26,867.91,177.83,61,101.49,100.79,271.33,109.83,177.96,116.75,79.9,206.78
OGDH,209.31,232.28,287.36,166.57,265.97,577.19,436.16,520.64,502.21,142.77,295.99,389.98,150.6,336.21,475.96,676.41,393.21,374.14,459.07,464.68,378.64,298.88,349.31,330.68,480.14,1217.98,610.21,386.32,180.69,241.07,471.13,317.98,444.64,619.35,772.32,391.56,542.41
PARP1,1106.01,576.21,934.14,340.28,898.53,979.62,620.72,2059.36,1028.41,351.7,1233.94,652.13,119.86,927.95,1569,793.22,962.39,1021.75,1721.04,1464.01,657.6,575.5,1716.39,836.63,971.85,1643.92,1541.31,1334.95,494.2,543.88,1955.38,1093.59,1526.56,1229.15,1490.5,1005.96,834.33
PC,134.04,56.79,102.86,19.55,47.6,51.51,66.77,77.5,62.56,45.18,245.02,88.67,36.1,74.66,385.65,328.17,282.11,219.24,123.9,305.79,70.56,135.7,118.22,166.82,206.17,87.88,157.41,369.15,54.58,142.69,125.13,90.89,125.59,105.25,251.6,155.38,147.93
PDHA1,132.92,105.91,281.47,57.31,143.45,211.55,199.41,300.24,267.88,155.92,491.58,187.63,72,319.68,449.04,397.57,317.06,269.04,197.91,401.49,178.91,162.11,286.1,195.24,511.4,406.7,413.08,336.96,143.4,257.49,186.12,284.09,304.21,417.35,427.76,457.87,439.23
PDK1,193.31,408.33,250.73,246.9,395.92,176.55,210.39,83.66,436.1,281.72,102,554.03,343.7,333.51,449.3,140.09,715.48,308.82,361.63,213.05,322.31,252.58,248.56,148.26,282.73,218.42,209.59,447.95,605.92,86.17,697.51,287.45,342.24,208.18,153.28,490.89,277.66
PFKFB1,1.12,1.35,1.68,0.76,0.43,0.44,2.52,1.54,2,0,1.53,0.57,0,1.52,0.53,1.29,2.81,0.54,2.81,4.92,0.91,0.52,2.8,1.6,4.66,1.02,2.03,2.45,0.86,0.25,1.15,1.34,1.5,1.33,2.73,1.18,1.87
PFKM,1148.63,214.98,301.32,170.23,418.24,323.61,382.08,1079.59,201.14,339.3,771.5,572.9,148.95,112.94,536.74,1272.83,490,486.92,968.49,1274.34,478.91,476.92,295.9,748.63,490.71,342.84,531.07,306.6,255.77,785.55,391.13,293.71,217.15,469.81,611.77,567.84,555.59
PGAM1,468.13,339.37,369.8,781.32,431.62,535.38,609.75,326.93,430.28,514.26,426.78,356.96,122.13,409.69,773.67,806.71,685.13,475.01,461.18,503.83,353.04,304.87,368.41,458.76,554.6,527.79,660.07,291.58,398.1,512.48,584.7,397.59,372.01,230.09,513.11,249.43,382.52
