"rownames(orderBenodigdeData1)","ccRCC_A_normal_tissue","ccRCC_A_Tumor1_tissue","ccRCC_A_Tumor2_tissue","ccRCC_A_Tumor3_tissue","ccRCC_B_normal_tissue","ccRCC_B_Tumor1_tissue","ccRCC_B_Tumor2_tissue","ccRCC_B_Tumor3_tissue","ccRCC_C_normal_tissue","ccRCC_C_Tumor1_tissue","ccRCC_C_Tumor2_tissue","ccRCC_C_Tumor3_tissue","ccRCC_D_normal_tissue","ccRCC_D_Tumor1_tissue","ccRCC_D_Tumor2_tissue","ccRCC_D_Tumor3_tissue","ccRCC_E_normal_tissue","ccRCC_E_Tumor1_tissue","ccRCC_E_Tumor2_tissue","ccRCC_E_Tumor3_tissue"
"SLC7A1 (glutamine transporter)",278.52,260.7,136.99,230.53,175.31,181.3,198.99,130.77,125.73,465.33,472.64,301.47,123.5,468.17,431.21,210.29,242.54,269.09,175.63,154.21
"SLC9A1 (Na+/H+ proton antiporter)",404.98,201.22,188.53,201.29,374.84,330.68,314.76,283.11,130.42,321.87,152.82,162.35,321.7,413.18,152.04,383.06,900.05,297.21,257.94,149.78
"SOD1",1367.87,580.63,414.36,520.31,1301.4,499.54,844.73,882.68,1253.28,1046.11,701.36,264.45,756.85,281.17,377.56,341.89,682.55,342.15,745.9,446.69
"SOD2",6633.67,8906.84,11636.57,7568.65,8655.87,7224.08,16380.85,7950.06,6020.26,27723.75,30268.74,17875.34,6622.09,28367.73,15790.32,8509.09,17885.88,20629.4,29132.92,31156.3
"TALDO1",1654.34,1073.23,545.24,758.82,1195.84,720.96,1173.65,1538.86,2313.33,3172.54,3493.32,1586.6,1636.26,967.72,1343.28,1127.02,1022.4,989.49,1971.66,934.15
"TP53",51.64,51.95,25.77,66.65,80.35,67.24,103.43,72.22,23.06,108.65,70.17,50.03,18.83,38.74,64.02,48.47,98.02,102.56,44.09,29.25
"TP53I3",363.82,230.78,215.99,407.51,216.83,46.7,62.06,120.4,226.84,171.75,136.04,56.8,178.97,70.35,129.76,107.1,289.76,119.65,121.25,93.95
"TUBB",1728.32,2269.05,2128.58,2059.41,2193.37,2917.92,3175.9,3496.06,1322.3,3051.86,2846.65,2995.86,1169.68,2725.12,3559.16,2455.67,2948.6,6123,4776.67,3502.52
"TXN",3412.69,3951.79,6372.46,7623.34,5979.37,3169.87,2854.48,5606.91,6685.05,4097.64,3783.73,4146.57,7655.08,1735.68,1979.03,1251.67,2851.12,1929.45,3185.67,1993.42
"VEGF121b_FASTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,0,0
"VEGF121_FASTA",225.11,398.45,725.63,1039.68,116.06,1813.56,1418.97,1563,260.58,10.59,657.84,1092.54,221.26,2181.65,1435.85,373.94,443.59,1495.68,924.1,1282.91
"VEGF165b_FASTA",2.21,1.18,196.67,0,0,0.59,8.47,3.21,2.61,0,8.43,0,0.78,4.45,1.82,0,0,0,1.84,0
"VEGF165_FASTA",526.36,1414.85,907.04,949.48,135.03,3638.85,3657.51,3868.52,310.09,746.79,579.41,1192.41,208.71,3305.32,2204.24,422.14,878.23,5522.31,1931.8,836.44
"VEGF189_FASTA",584.84,1698.41,898.56,705.46,164.04,1989.58,3973.24,2986.59,312.7,491.81,415.79,886.41,276.97,2379.78,3216.33,1045.59,1352.23,5938.62,2954.19,930.61
"VEGF_full_length_206_FASTA",309.6,634.7,314.38,91.29,53.33,1212.25,1704.2,948.85,122.94,235.85,259.76,546.81,99.42,1299.13,922.85,449.13,67.07,710.79,286.14,124.63
"VHL1",316.28,69.2,40.27,66.46,234.35,71.14,107.74,118.25,144.54,144.33,61.46,88.55,178.5,174.75,261.78,228.34,148.46,103.73,107.25,52.07
"VHL2",237.25,44.08,13.56,13.29,117.17,41.07,62.3,56.09,104.56,141.11,48.07,43.71,54.92,69.01,165.95,160.91,194.96,71.68,104.72,26.59
